AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME
20372,11376,11292,2017,2,6,2,P,23000,0,0,8878,0,870,140,120
21635,11292,13342,2017,2,6,2,L,12343,16,14,0,0,896,129,110
21635,14570,11292,2017,2,6,2,L,12343,16,13,0,0,804,124,106
20422,11292,10590,2017,2,6,2,L,82501,324,286,0,0,632,473,369
20422,11719,10590,2017,2,6,2,L,43411,162,149,0,0,637,124,102
20422,10590,11292,2017,2,6,2,L,43116,162,129,0,0,632,213,175
20422,10590,11719,2017,2,6,2,L,43116,162,148,0,0,637,208,175
20422,10590,13502,2017,2,6,1,L,43411,162,93,0,0,436,209,179
20422,10590,14288,2017,2,6,2,L,43411,162,156,0,0,598,191,169
20422,13502,10590,2017,2,6,1,L,43116,162,93,0,0,436,207,183
20422,14288,10590,2017,2,6,2,L,42116,162,154,0,0,598,211,182
20447,11840,14288,2017,2,6,3,P,5600,0,0,270,0,1070,170,160
20447,14288,13796,2017,2,6,2,P,5600,0,0,270,0,967,175,155
20190,11193,11292,2017,2,6,3,P,1668260,0,0,627144,0,1069,3922,3343
20190,11292,11193,2017,2,6,3,P,1668260,0,0,431309,0,1069,3620,2944
19930,11109,11292,2017,2,6,1,F,41080,178,156,0,0,73,48,19
19930,14747,11109,2017,2,6,3,F,41080,178,156,0,0,1068,180,148
20237,10558,11292,2017,2,6,1,F,11118,50,49,0,0,150,55,29
20237,11292,13851,2017,2,6,1,F,11118,50,34,0,0,495,136,114
20225,10325,11292,2017,2,6,1,F,7600,30,5,0,0,22,32,13
20225,10558,11292,2017,2,6,1,F,334400,1320,329,0,0,150,2622,1956
20225,11283,11292,2017,2,6,1,F,144400,570,116,0,0,292,1692,1405
20225,11292,10558,2017,2,6,1,F,342000,1350,343,0,0,150,2489,1733
20225,11292,11283,2017,2,6,1,F,174800,690,176,0,0,292,1912,1491
20225,11292,11292,2017,2,6,1,F,22800,90,37,0,0,0,224,176
20225,11292,11468,2017,2,6,1,F,425600,1680,645,0,0,305,4620,3767
20225,11292,12899,2017,2,6,1,F,364800,1440,423,0,0,228,3481,2635
20225,11292,12902,2017,2,6,1,F,144400,570,82,0,0,280,1605,1299
20225,11468,11292,2017,2,6,1,F,425600,1680,600,0,0,305,5338,4462
20225,12899,11292,2017,2,6,1,F,364800,1440,422,0,0,228,3700,2947
20225,12902,10325,2017,2,6,1,F,7600,30,5,0,0,274,100,87
20225,12902,11292,2017,2,6,1,F,159600,630,153,0,0,280,1830,1524
20358,11292,14081,2017,2,6,1,F,4500,19,5,0,0,420,117,103
20358,14288,11711,2017,2,6,1,F,4500,19,5,0,0,231,79,60
21599,11292,11292,2017,2,6,1,F,1600,8,6,0,0,0,100,84
20354,10558,11292,2017,2,6,1,F,10808,50,20,0,0,150,60,45
20354,11292,10409,2017,2,6,2,F,10841,50,40,0,0,519,86,67
20354,11292,12389,2017,2,6,2,F,10808,50,34,0,0,576,106,81
20354,12389,11292,2017,2,6,2,F,34308,150,121,0,0,576,298,260
20368,11921,12889,2017,2,6,1,F,101000,156,113,0,0,420,78,60
20368,12889,11921,2017,2,6,1,F,101000,156,151,0,0,420,84,60
19805,11109,11292,2017,2,6,1,F,40400,160,150,450,266,73,42,20
19805,11109,11298,2017,2,6,2,F,39900,160,133,0,0,592,97,78
19805,11109,12278,2017,2,6,1,F,39400,140,124,0,0,403,117,85
19805,11292,10721,2017,2,6,4,F,50200,181,168,428,0,1754,255,207
19805,11292,12892,2017,2,6,2,F,48100,181,74,0,0,862,144,115
19805,11292,12992,2017,2,6,2,F,39900,160,150,550,0,771,150,106
19805,13204,11292,2017,2,6,4,F,50200,181,154,0,54,1546,255,196
19805,13930,11109,2017,2,6,2,F,40400,160,150,450,266,911,157,138
19805,14492,11292,2017,2,6,3,F,40400,160,142,0,521,1436,219,201
19805,14771,11292,2017,2,6,2,F,51700,187,150,0,460,967,159,140
