"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
20.00,20.00,722077.00,3000.00,2185.00,64.00,0.00,495.00,1777.00,1365.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13851,1385103,33851,"OKC","Oklahoma City, OK","OK","40","Oklahoma",73,6,"694",1,2017,2,6,1,"F",
20.00,20.00,713797.00,3000.00,2786.00,918.00,10407.00,1290.00,3481.00,3041.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14122,1412202,30198,"PIT","Pittsburgh, PA","PA","42","Pennsylvania",23,6,"694",1,2017,2,6,3,"F",
20.00,20.00,708101.00,3000.00,2694.00,311.00,1009.00,853.00,2699.00,2346.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14679,1467903,33570,"SAN","San Diego, CA","CA","06","California",91,6,"694",1,2017,2,6,2,"F",
20.00,20.00,704610.00,3000.00,2630.00,1695.00,6890.00,794.00,2400.00,2015.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14683,1468303,33214,"SAT","San Antonio, TX","TX","48","Texas",74,6,"694",1,2017,2,6,2,"F",
20.00,20.00,686159.00,3000.00,2341.00,252.00,0.00,483.00,1933.00,1466.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11775,1177502,31775,"FSD","Sioux Falls, SD","SD","46","South Dakota",67,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"694",1,2017,2,6,1,"F",
20.00,20.00,868000.00,3500.00,3315.00,14047.00,0.00,1201.00,3262.00,2849.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11042,1104203,30647,"CLE","Cleveland, OH","OH","39","Ohio",44,6,"614",1,2017,2,6,3,"F",
20.00,20.00,721200.00,3600.00,3185.00,0.00,0.00,589.00,1851.00,1443.00,"F9",20436,"Frontier Airlines Inc.","06460","D","F9","Frontier Airlines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11423,1142304,31423,"DSM","Des Moines, IA","IA","19","Iowa",61,6,"694",1,2017,2,6,2,"F",
20.00,20.00,721200.00,3600.00,3192.00,0.00,0.00,589.00,2196.00,1749.00,"F9",20436,"Frontier Airlines Inc.","06460","D","F9","Frontier Airlines Inc.",3,3,11423,1142304,31423,"DSM","Des Moines, IA","IA","19","Iowa",61,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"694",1,2017,2,6,2,"F",
20.00,20.00,600000.00,3000.00,2392.00,0.00,0.00,911.00,3268.00,2636.00,"F9",20436,"Frontier Airlines Inc.","06460","D","F9","Frontier Airlines Inc.",3,3,13930,1393004,30977,"ORD","Chicago, IL","IL","17","Illinois",41,11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,6,"698",1,2017,2,6,2,"F",
21.00,21.00,1030890.00,3779.00,3556.00,3649.00,1757.00,680.00,2472.00,2069.00,"DL",19790,"Delta Air Lines Inc.","01260","D","DL","Delta Air Lines Inc.",3,3,13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,8,"888",1,2017,2,6,2,"F",
21.00,20.00,352200.00,1400.00,1220.00,0.00,0.00,420.00,1546.00,1138.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express","07041","D","G7","GoJet Airlines LLC d/b/a United Express",2,2,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,12278,1227803,30928,"ICT","Wichita, KS","KS","20","Kansas",62,6,"631",1,2017,2,6,1,"F",
21.00,21.00,283500.00,1050.00,852.00,0.00,0.00,649.00,2460.00,1834.00,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,10713,1071302,30713,"BOI","Boise, ID","ID","16","Idaho",83,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"629",1,2017,2,6,2,"F",
21.00,21.00,319200.00,1596.00,1345.00,0.00,0.00,349.00,1596.00,1102.00,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,10140,1014003,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,6,"673",1,2017,2,6,1,"F",
21.00,21.00,276500.00,1050.00,987.00,0.00,0.00,770.00,2662.00,2145.00,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,15016,1501603,31123,"STL","St. Louis, MO","MO","29","Missouri",64,6,"629",1,2017,2,6,2,"F",
21.00,21.00,372540.00,1449.00,1004.00,0.00,0.00,292.00,1324.00,938.00,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,10372,1037203,30372,"ASE","Aspen, CO","CO","08","Colorado",82,6,"631",1,2017,2,6,1,"F",
21.00,20.00,810902.00,3320.00,3030.00,348.00,37051.00,1199.00,3778.00,3266.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"614",1,2017,2,6,3,"F",
21.00,21.00,760416.00,3150.00,2821.00,182.00,0.00,1703.00,4590.00,4250.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,6,"694",1,2017,2,6,4,"F",
21.00,21.00,869700.00,3474.00,3082.00,1835.00,7869.00,680.00,2322.00,1866.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,6,"614",1,2017,2,6,2,"F",
21.00,21.00,750536.00,2688.00,2389.00,211.00,0.00,819.00,2682.00,2331.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13891,1389101,32575,"ONT","Ontario, CA","CA","06","California",91,6,"698",1,2017,2,6,2,"F",
21.00,21.00,761150.00,3150.00,2839.00,2737.00,27576.00,991.00,3179.00,2771.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14057,1405702,34057,"PDX","Portland, OR","OR","41","Oregon",92,6,"694",1,2017,2,6,2,"F",
21.00,21.00,753016.00,2688.00,2401.00,559.00,12762.00,1024.00,3424.00,3000.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14747,1474703,30559,"SEA","Seattle, WA","WA","53","Washington",93,6,"698",1,2017,2,6,3,"F",
